Dataset,Label,Question,
product_knowledge,Troubleshooting & Best Practices,"We're getting \compliance status: non-compliant\"" warnings for several of our Atlas projects after implementing maintenance window Resource Policies. What does this mean and how do we fix it?""",
product_knowledge,Troubleshooting & Best Practices,Why am I getting an error when trying to add an IP address to my Atlas project after my organization implemented Resource Policies?,
product_knowledge,Troubleshooting & Best Practices,How do I check my stream and monitor the performance of my stream processor?,
product_knowledge,Troubleshooting & Best Practices,Should I expect workload disruption during maintenance?,
product_knowledge,Troubleshooting & Best Practices,Why I only see few chunks in my sharded cluster?,
product_knowledge,Troubleshooting & Best Practices,How do you recommend modeling multitenanted vector search workloads?,
product_knowledge,Troubleshooting & Best Practices,I'm unable to connect to MongoDB with my C# app,
product_knowledge,Troubleshooting & Best Practices,How do I tune the accuracy of my queries?,
product_knowledge,Troubleshooting & Best Practices,Why are my vector search queries so slow?,
product_knowledge,Troubleshooting & Best Practices,What are some limitations I should be aware of with $vectorSearch?,
tech_support,Troubleshooting & Best Practices,i want to review the database whether its functioning well or not,
tech_support,Troubleshooting & Best Practices,"what is meaning metric \wiredtiger.cache.bytes dirty in the cache cumulative\""?""",
tech_support,Troubleshooting & Best Practices,how to investigate data loss due to collection deletion on shared clusters,
tech_support,Troubleshooting & Best Practices,how much oplog  storage is needed in ops manager,
tech_support,Troubleshooting & Best Practices,what happens of ocsp server not avaialble,
tech_support,Troubleshooting & Best Practices,can not connect to atlas with private endpoint,
tech_support,Troubleshooting & Best Practices,can only connect to atlas cluster using specific port,
tech_support,Troubleshooting & Best Practices,where does atlas stores slow query logs,
tech_support,Troubleshooting & Best Practices,"what is meaning metric \wiredtiger.cache.bytes read into cache\""?""",
tech_support,Troubleshooting & Best Practices,can we migrate cluster in down state?,
tech_support,Troubleshooting & Best Practices,i want to understand how cloud backup costs are calculated. i see that i am billed for 1200 gb of data,
tech_support,Troubleshooting & Best Practices,how to repair  corruption in mongodb collection,
tech_support,Troubleshooting & Best Practices,how to restore data onlinbe archive,
tech_support,Troubleshooting & Best Practices,how to check long running queries,
tech_support,Troubleshooting & Best Practices,how to speed up restores,
tech_support,Troubleshooting & Best Practices,how to manage socket exception in mongodb atlas,
tech_support,Troubleshooting & Best Practices,is it possible to set up an alert in mongodb atlas if a project exceeds its allocated monthly budget?,
tech_support,Troubleshooting & Best Practices,does both major and minor version upgrade maintenance are automated,
tech_support,Troubleshooting & Best Practices,how to raise a case for enterprise advanced,
tech_support,Troubleshooting & Best Practices,how to enable a set of alerts for all projects being created in an ops manager organization,
tech_support,Troubleshooting & Best Practices,how to reduce the ram usage on mongodb?,
tech_support,Troubleshooting & Best Practices,how to find the ip address of replica set,
tech_support,Troubleshooting & Best Practices,how to handle failover errors,
tech_support,Troubleshooting & Best Practices,i want to learn monitoring for my cluster and about the indexes and query also in the detailed,
tech_support,Troubleshooting & Best Practices,what is the impact of upcoming change to ip connectivity for mongodb atlas,
tech_support,Troubleshooting & Best Practices,how can i do a mongodump of a prod database and restore in a qa database and only restoring multiple collections?,
tech_support,Troubleshooting & Best Practices,does mongodb server restart create new connection pool?,
tech_support,Troubleshooting & Best Practices,how to check support subscription,
tech_support,Troubleshooting & Best Practices,how to audit queries run in data explorer,
tech_support,Troubleshooting & Best Practices,how to avoid rollback,
tech_support,Troubleshooting & Best Practices,where we can reduce the instnace size and save cost in the atlas,
tech_support,Troubleshooting & Best Practices,how to get back from global shard cluster to normal replica set cluster,
tech_support,Troubleshooting & Best Practices,how to cancel our developer support,
tech_support,Troubleshooting & Best Practices,how shrink database size in mongodb,
tech_support,Troubleshooting & Best Practices,why does node go into rollback during election,
tech_support,Troubleshooting & Best Practices,how do i make our compass database string access more secure,
tech_support,Troubleshooting & Best Practices,i want to create a case,
tech_support,Troubleshooting & Best Practices,how to improve initial syncprocess,
tech_support,Troubleshooting & Best Practices,how to know which collection utilize more connections,
tech_support,Troubleshooting & Best Practices,what cloud manager or ops manager alerts should i configure to monitor my deployment,
tech_support,Troubleshooting & Best Practices,can i collect performance metrics without activating ops manager automation agent? how can i query them? can i find information on single sessions?,
tech_support,Troubleshooting & Best Practices,what could happen if the ops manager backup database is a standalone node?,
tech_support,Troubleshooting & Best Practices,is my cluster safe to downscale,
docs,General Information,what's new in mongodb 8,
docs,General Information,Where is the official MongoDB documentation,
docs,General Information,Where are mongodb release notes,
marketing,General Information,Can I hire MongoDB developers to build my application?,
marketing,General Information,Is MongoDB currently hiring?,
product_knowledge,General Information,Where can I find the changes in the newest version of the MongoDB Administration API?,
product_knowledge,Practical Usage & Queries,How can MongoDB Atlas Resource Policies help my company meet compliance requirements in the financial services industry?,
product_knowledge,Practical Usage & Queries,Why are Continuous Cloud Backups so much more expensive than Cloud Backups?,
product_knowledge,Practical Usage & Queries,Can I use Atlas Stream Processing with RedPanda?,
product_knowledge,Practical Usage & Queries,Can Atlas Vector Search work with image or audio data?,
